Language	Lexeme	Metaphor	Determinism	Entity_concerned	Agency(FATE)	Agency(Entity_concerned)	Fairness	Sentiment
EN	destiny	Enemy/Oppressor/Danger	Deterministic	Human-specified	Agentive	Non-agentive	Unjust	Neutral
EN	destiny	Thing	Unspecified	Human-specified	Agentive	Non-agentive	Neutral	Neutral
EN	destiny	Precious Object	Deterministic	Human-unspecified	Non-agentive	Non-agentive	Non-applicable	Neutral
EN	destiny	Thing	Deterministic	Human-specified	Agentive	Non-agentive	Neutral	Negative
EN	destiny	Human	Deterministic	Human-specified	Agentive	Non-agentive	Neutral	Neutral
EN	destiny	Precious Object	Non-deterministic	Human-specified	Non-agentive	Non-agentive	Non-applicable	Positive
EN	destiny	Thing	Non-deterministic	Human-specified	Non-agentive	Agentive	Non-applicable	Positive
EN	destiny	Thing	Non-deterministic	Human-specified	Non-agentive	Non-agentive	Non-applicable	Negative
EN	destiny	Destination	Unspecified	Human-specified	Non-agentive	Agentive	Non-applicable	Neutral
EN	destiny	Human	Deterministic	Human-specified	Agentive	Non-agentive	Just	Negative
EN	destiny	God/Providence	Unspecified	Human-specified	Agentive	Non-agentive	Neutral	Neutral
EN	destiny	Thing	Deterministic	Human-specified	Non-agentive	Non-agentive	Non-applicable	Neutral
EN	destiny	God/Providence	Deterministic	Human-unspecified	Agentive	Non-agentive	Neutral	Positive
EN	destiny	Precious Object	Non-deterministic	Human-specified	Non-agentive	Non-agentive	Non-applicable	Neutral
EN	destiny	Human	Unspecified	Human-specified	Agentive	Non-agentive	Neutral	Neutral
EN	destiny	Precious Object	Non-deterministic	Human-specified	Non-agentive	Non-agentive	Non-applicable	Neutral
EN	destiny	Human	Deterministic	Human-unspecified	Non-agentive	Non-agentive	Non-applicable	Neutral
EN	destiny	Thing	Non-deterministic	Unspecified	Non-agentive	Non-applicable	Non-applicable	Neutral
EN	destiny	Human	Deterministic	Human-specified	Non-agentive	Non-agentive	Non-applicable	Neutral
EN	destiny	God/Providence	Unspecified	Human-specified	Agentive	Non-agentive	Neutral	Positive
